full_name,2020/21 ,2020/21(*)
Rodions Kurucs,"$1,780,152","$2,106,853"
Furkan Korkmaz,"$1,762,796","$2,086,311"
Alfonzo McKinnie,"$1,762,796","$2,086,311"
Damion Lee,"$1,762,796","$2,086,311"
PJ Dozier,"$1,762,796","$2,086,311"
Abdel Nader,"$1,752,950","$2,074,658"
Semi Ojeleye,"$1,752,950","$2,074,658"
DeAndre Bembry,"$1,737,145","$2,055,953"
Frank Kaminsky,"$1,737,145","$2,055,953"
Willy Hernangomez,"$1,737,145","$2,055,953"
Thon Maker,"$1,737,145","$2,055,953"
Monte Morris,"$1,723,707","$2,040,049"
Kevin Porter,"$1,717,981","$2,033,272"
Shake Milton,"$1,701,593","$2,013,876"
Thanasis Antetokounmpo,"$1,701,593","$2,013,876"
Brandon Goodwin,"$1,701,593","$2,013,876"
Ignas Brazdeikis,"$1,686,315","$1,995,794"
Torrey Craig,"$1,678,854","$1,986,964"
Dwayne Bacon,"$1,678,854","$1,986,964"
Wesley Iwundu,"$1,678,854","$1,986,964"
Sterling Brown,"$1,678,854","$1,986,964"
Isaac Bonga,"$1,663,861","$1,969,219"
Gary Trent Jr,"$1,663,861","$1,969,219"
Sviatoslav Mykhailiuk,"$1,663,861","$1,969,219"
Mitchell Robinson,"$1,663,861","$1,969,219"
Jarred Vanderbilt,"$1,663,861","$1,969,219"
Kendrick Nunn,"$1,663,861","$1,969,219"
Duncan Robinson,"$1,663,861","$1,969,219"
Hamidou Diallo,"$1,663,861","$1,969,219"
Jalen Brunson,"$1,663,861","$1,969,219"
Devonte Graham,"$1,663,861","$1,969,219"
Bruce Brown,"$1,663,861","$1,969,219"
Drew Eubanks,"$1,620,564","$1,917,976"
Harry Giles,"$1,620,564","$1,917,976"
Josh Gray,"$1,620,564","$1,917,976"
Wenyen Gabriel,"$1,620,564","$1,917,976"
Isaiah Hartenstein,"$1,620,564","$1,917,976"
Daniel Gafford,"$1,517,981","$1,796,567"
Matt Thomas,"$1,517,981","$1,796,567"
Juwan Morgan,"$1,517,981","$1,796,567"
Miye Oni,"$1,517,981","$1,796,567"
Chris Silva,"$1,517,981","$1,796,567"
Terence Davis,"$1,517,981","$1,796,567"
Justin James,"$1,517,981","$1,796,567"
Admiral Schofield,"$1,517,981","$1,796,567"
Isaiah Roby,"$1,517,981","$1,796,567"
Luguentz Dort,"$1,517,981","$1,796,567"
Jaylen Nowell,"$1,517,981","$1,796,567"
Naz Reid,"$1,517,981","$1,796,567"
KZ Okpala,"$1,517,981","$1,796,567"
Talen Horton-Tucker,"$1,517,981","$1,796,567"
Terance Mann,"$1,517,981","$1,796,567"
Jalen Lecque,"$1,517,981","$1,796,567"
Chris Clemons,"$1,517,981","$1,796,567"
Mychal Mulder,"$1,517,981","$1,796,567"
Alen Smailagic,"$1,517,981","$1,796,567"
Eric Paschall,"$1,517,981","$1,796,567"
Vlatko Cancar,"$1,517,981","$1,796,567"
Dean Wade,"$1,517,981","$1,796,567"
Javonte Green,"$1,517,981","$1,796,567"
Jalen McDaniels,"$1,517,981","$1,796,567"
Caleb Martin,"$1,517,981","$1,796,567"
Cody Martin,"$1,517,981","$1,796,567"
Nicolas Claxton,"$1,517,981","$1,796,567"
Carsen Edwards,"$1,517,981","$1,796,567"
Bruno Fernando,"$1,517,981","$1,796,567"
Robert Woodard,"$1,500,000","$1,775,286"
Damian Jones,"$1,487,284","$1,760,235"
JR Smith,"$1,456,667","$1,724,000"
Paul Watson,"$1,445,697","$1,711,017"
Zylan Cheatham,"$1,445,697","$1,711,017"
Kelan Martin,"$1,445,697","$1,711,017"
DaQuan Jeffries,"$1,445,697","$1,711,017"
Jae'Sean Tate,"$1,445,697","$1,711,017"
Vernon Carey,"$1,350,000","$1,597,757"
Xavier Tillman,"$1,300,000","$1,538,581"
Tyrell Terry,"$1,289,846","$1,526,564"
Oshae Brissett,"$1,255,493","$1,485,906"
Moses Brown,"$1,250,000","$1,479,405"
Sindarius Thornwell,"$1,235,889","$1,462,703"
Ersan Ilyasova,"$1,194,542","$1,413,769"
Glenn Robinson III,"$1,165,322","$1,379,186"
Zhaire Smith,"$1,068,200","$1,264,240"
Khyri Thomas,"$1,061,283","$1,256,053"
Guerschon Yabusele,"$1,039,080","$1,229,776"
Norvel Pelle,"$1,014,905","$1,201,163"
Jahmi'us Ramsey,"$1,000,000","$1,183,524"
Lamar Stevens,"$1,000,000","$1,183,524"
Nick Richards,"$1,000,000","$1,183,524"
Kyle Singler,"$999,200","$1,182,577"
Juan Toscano-Anderson,"$943,963","$1,117,203"
Shaquille Harrison,"$915,048","$1,082,980"
Chimezie Metu,"$910,895","$1,078,066"
Anthony Gill,"$898,310","$1,063,171"
Elijah Hughes,"$898,310","$1,063,171"
Tre Jones,"$898,310","$1,063,171"
CJ Elleby,"$898,310","$1,063,171"
Isaiah Joe,"$898,310","$1,063,171"
Sam Merrill,"$898,310","$1,063,171"
Jordan Nwora,"$898,310","$1,063,171"
Daniel Oturu,"$898,310","$1,063,171"
KJ Martin,"$898,310","$1,063,171"
Deividas Sirvydis,"$898,310","$1,063,171"
Iman Shumpert,"$803,044","$950,422"
Theo Pinson,"$802,182","$949,401"
Yuta Watanabe,"$737,996","$873,436"
Tremont Waters,"$712,278","$842,998"
Frank Jackson,"$699,115","$827,419"
Rayjon Tucker,"$693,755","$821,075"
Tyler Cook,"$693,141","$820,348"
Garrison Mathews,"$688,052","$814,326"
Cole Aldrich,"$685,340","$811,116"
Shaun Livingston,"$666,666","$789,015"
Gabe Vincent,"$660,750","$782,013"
Tacko Fall,"$653,924","$773,934"
Max Strus,"$647,098","$765,856"
Alize Johnson,"$621,587","$735,663"
Anthony Tolliver,"$614,838","$727,675"
Paul Reed,"$609,128","$720,917"
Tim Frazier,"$597,463","$707,111"
Jordan Bell,"$592,368","$701,081"
Amir Coffey,"$578,842","$685,073"
Naji Marshall,"$538,391","$637,198"
Kyle Guy,"$537,888","$636,603"
Markus Howard,"$535,294","$633,533"
Skylar Mays,"$532,218","$629,892"
Mamadi Diakite,"$529,341","$626,487"
Nathan Knight,"$522,989","$618,970"
Jared Harper,"$520,487","$616,008"
Saben Lee,"$516,836","$611,687"
Jarrell Brantley,"$510,586","$604,290"
Jordan McLaughlin,"$503,760","$596,212"
Rondae Hollis-Jefferson,"$502,957","$595,261"
Reggie Perry,"$489,148","$578,918"
Trent Forrest,"$470,690","$557,073"
Cassius Stanley,"$470,690","$557,073"
Dakari Johnson,"$459,414","$543,727"
Cassius Winston,"$449,115","$531,538"
Jalen Harris,"$449,115","$531,538"
Keita Bates-Diop,"$449,115","$531,538"
Quinndary Weatherspoon,"$449,115","$531,538"
Keljin Blevins,"$449,115","$531,538"
Ty-Shon Alexander,"$449,115","$531,538"
Josh Hall,"$449,115","$531,538"
Jaylen Adams,"$449,115","$531,538"
Sean McDermott,"$449,115","$531,538"
Killian Tillie,"$449,115","$531,538"
Devontae Cacok,"$449,115","$531,538"
Kostas Antetokounmpo,"$449,115","$531,538"
Jay Scrubb,"$449,115","$531,538"
Nico Mannion,"$449,115","$531,538"
Nate Hinton,"$449,115","$531,538"
Tyler Bey,"$449,115","$531,538"
Marques Bolden,"$449,115","$531,538"
Adam Mokoka,"$449,115","$531,538"
Devon Dotson,"$449,115","$531,538"
Nate Darling,"$449,115","$531,538"
Grant Riller,"$449,115","$531,538"
Chris Chiozza,"$449,115","$531,538"
Yogi Ferrell,"$444,149","$525,661"
Noah Vonleh,"$427,725","$506,222"
Mason Jones,"$424,544","$502,457"
Brodric Thomas,"$412,202","$487,850"
Andre Roberson,"$411,639","$487,184"
Donta Hall,"$376,276","$445,331"
Brian Bowen,"$375,321","$444,201"
Anzejs Pasecniks,"$374,297","$442,989"
Freddie Gillespie,"$363,015","$429,637"
AJ Hammons,"$350,087","$414,336"
Karim Mane,"$344,557","$407,791"
Will Magnay,"$341,481","$404,151"
Greg Whittington,"$332,252","$393,228"
Raymond Spalding,"$289,156","$342,223"
Chasson Randle,"$279,927","$331,300"
Justin Patton,"$267,623","$316,738"
Gary Payton II,"$249,864","$295,720"
Mike James,"$237,648","$281,262"
Charlie Brown,"$217,844","$257,823"
Anthony Lamb,"$215,330","$254,848"
Justin Robinson,"$198,040","$234,385"
Axel Toupane,"$196,872","$233,002"
Henry Ellenson,"$168,983","$199,995"
Ashton Hagans,"$166,111","$196,596"
Isaiah Thomas,"$159,698","$189,006"
John Henson,"$158,907","$188,070"
Armoni Brooks,"$135,362","$160,204"
Jordan Bone,"$135,350","$160,190"
Jaylen Hoard,"$129,209","$152,921"
